Sr. No.,Shop Name,zone_clean,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
389,Hariyana Dairy,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
390,Sharma Kirana And General Store,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials
391,Ganapti Sales,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
392,Hari Tradres,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
393,R.R.K,Amer_Periphery,packaging leaks or breaks,no awareness among customers,better margins for retailers,no_data,no_data,packaging leaks or breaks | no awareness among customers | better margins for retailers
394,Balaji,Malviya_Sanganer,no complaints,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,no complaints | customers haven't asked for it | smaller affordable sku for single-use
395,Ritu Kirana Store,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
396,Tanu Parlour,Jhotwara_Murlipura,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
397,Omee Sabji Bhandar,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
398,Shubham Tea Stall,Jhotwara_Murlipura,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,low/unclear margin,curd is too sour | customers haven't asked for it | more advertising in jaipur | low/unclear margin
399,Shankar Kirana,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
400,Salasar Departmental Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
401,Shinghal Kirana Store,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
402,Chadda Std & Cold Drinks,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
403,Jain Kirana Store,Amer_Periphery,no complaints,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,no complaints | customers haven't asked for it | more consumer-facing offers/free trials
404,Neeraj Kirana,Amer_Periphery,no complaints,no awareness among customers,better margins for retailers,no_data,no_data,no complaints | no awareness among customers | better margins for retailers
405,Natani Stationery,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
406,The Best Seller,Vaishali_Mansarovar,not thick enough,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
407,Khandelwal Department,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,low/unclear margin,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | low/unclear margin
408,Mahaveer Provision,Vaishali_Mansarovar,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,low/unclear margin,no complaints | no awareness among customers | more consumer-facing offers/free trials | low/unclear margin
409,Tazza Fal Sabji,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | no customer demand/enquiry
410,Siddhi Department,Malviya_Sanganer,no complaints,no awareness among customers,more frequent sales rep visits,no_data,no customer demand/enquiry,no complaints | no awareness among customers | more frequent sales rep visits | no customer demand/enquiry
411,Gullu Di Hatti ( Season Ke Saudagar ),Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,packaging leaks or breaks | no awareness among customers | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
412,Ajnabi Store,Vaishali_Mansarovar,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
413,Baba Kirana Store,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry,curd is too sour | customers haven't asked for it | better margins for retailers | no customer demand/enquiry
414,Grah Suvidha General Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur
415,Vishnu Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
416,Mahalaxmi Department Store,Vaishali_Mansarovar,no complaints,customers haven't asked for it,better margins for retailers,no_data,no_data,no complaints | customers haven't asked for it | better margins for retailers
417,Taver Kirana,Amer_Periphery,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
419,Laxmi Kirana,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,better margins for retailers,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | better margins for retailers
420,Honey Provision Store,Amer_Periphery,packaging leaks or breaks,customers like the cup format,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | customers like the cup format | more consumer-facing offers/free trials
421,Jai Mata Di Gen. Store,Vaishali_Mansarovar,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
422,Shyam Deptartmental Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
423,Sai Communication,Amer_Periphery,not thick enough,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,not thick enough | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | no customer demand/enquiry
424,Kaniram'S Sweet,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials
425,Shree Narayani General Store,Jhotwara_Murlipura,curd is too sour,customers like the cup format,more advertising in jaipur,no_data,no_data,curd is too sour | customers like the cup format | more advertising in jaipur
426,Batra Provision Store,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,saras is sufficient for my customers,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | saras is sufficient for my customers
427,N.D Provision Store,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
428,Jain Padam Prabhu,Vaishali_Mansarovar,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
429,Bhumika Mobile Point,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no customer demand/enquiry company rep hasn't offered it,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | no customer demand/enquiry company rep hasn't offered it
430,Govidham Deptartmental Store,Amer_Periphery,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
431,Om Sweet,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
432,Lalita Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,company rep hasn't offered it,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | company rep hasn't offered it
433,The Balaji Departmental Store,Malviya_Sanganer,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
434,Choudhary Kirana Store,Jhotwara_Murlipura,curd is too sour,customers like the cup format,smaller affordable sku for single-use,no_data,no_data,curd is too sour | customers like the cup format | smaller affordable sku for single-use
435,Gupta Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,low/unclear margin,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials | low/unclear margin
436,Ganesham,Amer_Periphery,not thick enough,no awareness among customers,more frequent sales rep visits,no_data,no_data,not thick enough | no awareness among customers | more frequent sales rep visits
437,The Classic Bakery,Amer_Periphery,not thick enough,no awareness among customers,better margins for retailers,no_data,no customer demand/enquiry,not thick enough | no awareness among customers | better margins for retailers | no customer demand/enquiry
438,M.D Juice,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
439,Vijayvargiuya Kirana Store,Amer_Periphery,not thick enough,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,not thick enough | customers haven't asked for it | smaller affordable sku for single-use
440,Shekhawat Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,low/unclear margin,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | low/unclear margin
441,Yadav Restaurant,Malviya_Sanganer,no complaints,no awareness among customers,more frequent sales rep visits,no_data,no_data,no complaints | no awareness among customers | more frequent sales rep visits
442,Saini Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
443,Jyoti Kirana And Jeneral Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
444,Pankaj Kirana,Amer_Periphery,packaging leaks or breaks,"texture is creamy, some prefer it over masti",better margins for retailers,no_data,no_data,"packaging leaks or breaks | texture is creamy, some prefer it over masti | better margins for retailers"
445,Mukesh Kirana,Amer_Periphery,no complaints,"good freshness, priced right",better margins for retailers,no_data,no_data,"no complaints | good freshness, priced right | better margins for retailers"
446,One Stop,Vaishali_Mansarovar,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
447,Kailas Colddrinks,C_Scheme,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no_data,curd is too sour | customers haven't asked for it | more advertising in jaipur
448,Salim,Amer_Periphery,not thick enough,customers haven't asked for it,more frequent sales rep visits,no_data,no customer demand/enquiry,not thick enough | customers haven't asked for it | more frequent sales rep visits | no customer demand/enquiry
449,Mahalaxmi Departmental Store,Jhotwara_Murlipura,not thick enough,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"not thick enough | good freshness, priced right | smaller affordable sku for single-use"
450,Gandwal Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
451,Narsingh Deptartmental Store,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
452,Amar Std,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
453,K.K Sijan House,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
454,Lalitesh Shekhawat,Jhotwara_Murlipura,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
455,Vikas Kirana Store,Amer_Periphery,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
456,Ridhi Sidhi Deprt. Store 1,Vaishali_Mansarovar,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
457,Shree Shyam Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
458,Pradeep Prov.,Vaishali_Mansarovar,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
459,Annu Provision Store,Vaishali_Mansarovar,curd is too sour,customers like the cup format,more advertising in jaipur,no_data,no_data,curd is too sour | customers like the cup format | more advertising in jaipur
460,Hari Deparmental Store,Amer_Periphery,no complaints,customers haven't asked for it,better margins for retailers,no_data,no_data,no complaints | customers haven't asked for it | better margins for retailers
461,Govindam Restaurant,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
462,Rohit Provision & Genral Store,Jhotwara_Murlipura,not thick enough,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
463,Tirupati Departmental Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
464,Jain Kirana & General Store,Jhotwara_Murlipura,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
465,Om Laxmi Mobiles,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
466,Agarwal Departmental,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | low/unclear margin
467,Laxmi Kirana Store,Malviya_Sanganer,packaging leaks or breaks,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more frequent sales rep visits
468,Maa Jwala Entp.,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
469,Yadav Kirana,Vaishali_Mansarovar,packaging leaks or breaks,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | smaller affordable sku for single-use
470,Jain Kirana Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,low/unclear margin,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | low/unclear margin
471,Abdul Rahman Fruit And Vegetable,Malviya_Sanganer,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
472,Payal Provision Store,C_Scheme,not thick enough,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
473,Govindham Kirana,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
474,Pushpa Kirana,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
475,Chotiya Kirana And General Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
476,Singhal Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,saras is sufficient for my customers,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials | saras is sufficient for my customers
477,Mahesh Kirana & General Store,Jhotwara_Murlipura,no complaints,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,no complaints | customers haven't asked for it | smaller affordable sku for single-use
478,Divyans Parlour,Amer_Periphery,no complaints,"texture is creamy, some prefer it over masti",more advertising in jaipur,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | more advertising in jaipur"
479,Santosh Kirana Store,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
480,Harinarayan Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | no customer demand/enquiry
481,Balaji Kirana Store,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry,curd is too sour | customers haven't asked for it | better margins for retailers | no customer demand/enquiry
482,Lalli Bakery,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
483,Pawan Kirana,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
484,Ragunath General Store,C_Scheme,packaging leaks or breaks,no awareness among customers,better margins for retailers,no_data,no_data,packaging leaks or breaks | no awareness among customers | better margins for retailers
485,Rajesh Store,Malviya_Sanganer,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
486,Dilshad Kirana Store,Amer_Periphery,curd is too sour,no awareness among customers,more frequent sales rep visits,no_data,no_data,curd is too sour | no awareness among customers | more frequent sales rep visits
487,Manoj Kirana Store,Amer_Periphery,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
488,Rubi Kirana Store,Amer_Periphery,curd is too sour,"sells okay, no specific complaints",more consumer-facing offers/free trials,no_data,no_data,"curd is too sour | sells okay, no specific complaints | more consumer-facing offers/free trials"
489,Radhay Tradres,Vaishali_Mansarovar,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
490,Punjabi Chaiwala,Amer_Periphery,not thick enough,no awareness among customers,more advertising in jaipur,no_data,no_data,not thick enough | no awareness among customers | more advertising in jaipur
491,,Amer_Periphery,no complaints,customers haven't asked for it,more advertising in jaipur,no_data,no_data,no complaints | customers haven't asked for it | more advertising in jaipur
492,Gautam Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur
493,Sarita Kirana Store,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,company rep hasn't offered it,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | company rep hasn't offered it
495,Shree Ganesh Departmental Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use
496,R.R Departmental Store,Malviya_Sanganer,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no customer demand/enquiry,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers | no customer demand/enquiry
497,Ravi Agarwal,Amer_Periphery,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,curd is too sour | no awareness among customers | smaller affordable sku for single-use
498,Brij Kirana Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials | no customer demand/enquiry
499,Shree Ganesham Departmental Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
500,Kedar & Company,Amer_Periphery,no complaints,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,no complaints | customers haven't asked for it | smaller affordable sku for single-use
